Id,Label,name,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
n0,n0,Akaka,51,45.98399991,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010526416,0,0.988235294,1260,0.849107795
n1,n1,Alexander,47,37.94599998,2,0.659863946,0.007957508,0.009884679,0.009884679,1,0.010466865,0,0.926919519,1002,0.509477446
n2,n2,Allard,43,36.01899976,3,0.492385787,8.35E-05,0.009060956,0.009060956,1,0.010056011,0,0.987818383,892,0.449184795
n3,n3,Baucus,53,44.71099997,3,0.673611111,0.010569649,0.011120264,0.011120264,0,0.010335167,0,0.921625544,1270,0.870520004
n4,n4,Bayh,50,41.19799984,3,0.551136364,0,0.010502472,0.010502472,0,0.009579925,0,1,1225,0.830538372
n5,n5,Bennett,47,38.36199981,2,0.659863946,0.007957508,0.009884679,0.009884679,1,0.010565043,0,0.926919519,1002,0.509477446
n6,n6,Biden,50,44.51000023,3,0.551136364,0,0.010502472,0.010502472,0,0.010226986,0,1,1225,0.830538372
n7,n7,Bingaman,51,45.57499987,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010446578,0,0.988235294,1260,0.849107795
n8,n8,Bond,46,36.61200011,3,0.598765432,0.002388814,0.009678748,0.009678748,1,0.010174641,0,0.954589372,988,0.490099844
n9,n9,Boxer,50,44.565,3,0.551136364,0,0.010502472,0.010502472,0,0.010238262,0,1,1225,0.830538372
n10,n10,Brown,50,45.15100014,3,0.551136364,0,0.010502472,0.010502472,0,0.010353353,0,1,1225,0.830538372
n11,n11,Brownback,46,38.39900011,2,0.655405405,0.007952839,0.009678748,0.009678748,1,0.010573578,0,0.924637681,957,0.498909889
n12,n12,Bunning,44,36.07499993,3,0.497435897,1.72E-04,0.009266886,0.009266886,1,0.010072795,0,0.978858351,926,0.459114393
n13,n13,Burr,44,36.73500001,3,0.497435897,1.72E-04,0.009266886,0.009266886,1,0.010229193,0,0.978858351,926,0.459114393
n14,n14,Byrd,51,42.89899981,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.009923337,0,0.988235294,1260,0.849107795
n15,n15,Cantwell,52,45.96499985,3,0.638157895,0.002865311,0.010914333,0.010914333,0,0.010544859,0,0.960784314,1274,0.861523822
n16,n16,Cardin,51,45.99000001,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010527348,0,0.988235294,1260,0.849107795
n17,n17,Carper,52,44.96399981,3,0.638157895,0.002865311,0.010914333,0.010914333,0,0.01034976,0,0.960784314,1274,0.861523822
n18,n18,Casey,51,46.0799998,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010545095,0,0.988235294,1260,0.849107795
n19,n19,Chambliss,45,37.58899993,3,0.527173913,5.78E-04,0.009472817,0.009472817,1,0.010426371,0,0.967676768,958,0.471530421
n20,n20,Clinton,50,45.11199987,3,0.551136364,0,0.010502472,0.010502472,0,0.010345413,0,1,1225,0.830538372
n21,n21,Coburn,38,29.55899978,3,0.470873786,4.67E-06,0.008031301,0.008031301,1,0.008516359,0,0.998577525,702,0.397193998
n22,n22,Cochran,46,37.49799997,3,0.598765432,0.002388814,0.009678748,0.009678748,1,0.0103849,0,0.954589372,988,0.490099844
n23,n23,Coleman,48,36.00299984,2,0.664383562,0.035658547,0.01009061,0.01009061,1,0.009880215,0,0.803191489,906,0.549500632
n24,n24,Collins,67,46.98099995,2,0.763779528,0.215710634,0.014003295,0.014003295,1,0.011599307,0,0.508367255,1124,0.938029612
n25,n25,Conrad,51,44.61599988,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010259407,0,0.988235294,1260,0.849107795
n26,n26,Corker,46,37.47799999,3,0.598765432,0.002388814,0.009678748,0.009678748,1,0.010381342,0,0.954589372,988,0.490099844
n27,n27,Cornyn,45,38.36799997,3,0.527173913,5.78E-04,0.009472817,0.009472817,1,0.010611879,0,0.967676768,958,0.471530421
n28,n28,Craig,46,38.21000022,3,0.598765432,0.002388814,0.009678748,0.009678748,1,0.010554708,0,0.954589372,988,0.490099844
n29,n29,Crapo,46,37.86700004,3,0.598765432,0.002388814,0.009678748,0.009678748,1,0.010472353,0,0.954589372,988,0.490099844
n30,n30,DeMint,41,33.61099976,3,0.477832512,2.68E-05,0.008649094,0.008649094,1,0.009484065,0,0.993902439,815,0.427695409
n31,n31,Dodd,50,44.35600001,3,0.551136364,0,0.010502472,0.010502472,0,0.010197195,0,1,1225,0.830538372
n32,n32,Dole,44,36.08300018,3,0.497435897,1.72E-04,0.009266886,0.009266886,1,0.010074069,0,0.978858351,926,0.459114393
n33,n33,Domenici,45,35.43500024,3,0.595092025,0.002101315,0.009472817,0.009472817,1,0.009887564,0,0.960606061,951,0.481583399
n34,n34,Dorgan,51,43.32099998,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010006445,0,0.988235294,1260,0.849107795
n35,n35,Durbin,50,45.38699996,3,0.551136364,0,0.010502472,0.010502472,0,0.010399153,0,1,1225,0.830538372
n36,n36,Ensign,44,36.17399991,3,0.497435897,1.72E-04,0.009266886,0.009266886,1,0.010095579,0,0.978858351,926,0.459114393
n37,n37,Enzi,43,35.51399988,3,0.492385787,8.35E-05,0.009060956,0.009060956,1,0.009935171,0,0.987818383,892,0.449184795
n38,n38,Feingold,50,43.26700002,3,0.551136364,0,0.010502472,0.010502472,0,0.009983864,0,1,1225,0.830538372
n39,n39,Feinstein,52,45.83399969,3,0.638157895,0.002865311,0.010914333,0.010914333,0,0.010519072,0,0.960784314,1274,0.861523822
n40,n40,Graham,46,36.96399999,3,0.598765432,0.002388814,0.009678748,0.009678748,1,0.010259739,0,0.954589372,988,0.490099844
n41,n41,Grassley,47,37.92099994,2,0.659863946,0.007957508,0.009884679,0.009884679,1,0.010462194,0,0.926919519,1002,0.509477446
n42,n42,Gregg,44,34.11900002,3,0.521505376,4.90E-04,0.009266886,0.009266886,1,0.009599552,0,0.975687104,923,0.461600823
n43,n43,Hagel,43,31.44800013,3,0.521505376,4.70E-04,0.009060956,0.009060956,1,0.008961932,0,0.973421927,879,0.452429531
n44,n44,Harkin,51,45.53900009,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010439129,0,0.988235294,1260,0.849107795
n45,n45,Hatch,46,37.514,3,0.598765432,0.002388814,0.009678748,0.009678748,1,0.010389605,0,0.954589372,988,0.490099844
n46,n46,Hutchison,46,37.45200002,3,0.598765432,0.002388814,0.009678748,0.009678748,1,0.010375501,0,0.954589372,988,0.490099844
n47,n47,Inhofe,42,34.13299984,3,0.48019802,4.36E-05,0.008855024,0.008855024,1,0.009610948,0,0.990708479,853,0.437702184
n48,n48,Inouye,50,44.23999977,3,0.551136364,0,0.010502472,0.010502472,0,0.010174513,0,1,1225,0.830538372
n49,n49,Isakson,46,38.87599993,3,0.598765432,0.002388814,0.009678748,0.009678748,1,0.010713887,0,0.954589372,988,0.490099844
n50,n50,Kennedy,52,44.79599994,3,0.638157895,0.002865311,0.010914333,0.010914333,0,0.010315975,0,0.960784314,1274,0.861523822
n51,n51,Kerry,52,45.5769999,3,0.638157895,0.002865311,0.010914333,0.010914333,0,0.010469559,0,0.960784314,1274,0.861523822
n52,n52,Klobuchar,52,46.72899967,3,0.638157895,0.002865311,0.010914333,0.010914333,0,0.010694887,0,0.960784314,1274,0.861523822
n53,n53,Kohl,51,45.98500001,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010526434,0,0.988235294,1260,0.849107795
n54,n54,Kyl,44,35.29900014,3,0.521505376,4.90E-04,0.009266886,0.009266886,1,0.009879737,0,0.975687104,923,0.461600823
n55,n55,Landrieu,51,41.92199993,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.009732196,0,0.988235294,1260,0.849107795
n56,n56,Lautenberg,51,46.03400004,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010535617,0,0.988235294,1260,0.849107795
n57,n57,Leahy,51,45.24199992,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010380941,0,0.988235294,1260,0.849107795
n58,n58,Levin,50,44.87800002,3,0.551136364,0,0.010502472,0.010502472,0,0.010299909,0,1,1225,0.830538372
n59,n59,Lieberman,52,43.4549998,3,0.638157895,0.002865311,0.010914333,0.010914333,0,0.010053674,0,0.960784314,1274,0.861523822
n60,n60,Lincoln,52,44.74699992,3,0.638157895,0.002865311,0.010914333,0.010914333,0,0.010307539,0,0.960784314,1274,0.861523822
n61,n61,Lott,46,37.19899994,3,0.598765432,0.002388814,0.009678748,0.009678748,1,0.01031505,0,0.954589372,988,0.490099844
n62,n62,Lugar,46,35.01100016,2,0.655405405,0.007130201,0.009678748,0.009678748,1,0.00976205,0,0.93236715,965,0.500961001
n63,n63,Martinez,46,37.13700002,3,0.598765432,0.002388814,0.009678748,0.009678748,1,0.010300629,0,0.954589372,988,0.490099844
n64,n64,McCain,46,37.43300015,2,0.655405405,0.007952839,0.009678748,0.009678748,1,0.010346259,0,0.924637681,957,0.498909889
n65,n65,McCaskill,50,41.11299986,3,0.551136364,0,0.010502472,0.010502472,0,0.009563784,0,1,1225,0.830538372
n66,n66,McConnell,46,38.95799989,3,0.598765432,0.002388814,0.009678748,0.009678748,1,0.01073292,0,0.954589372,988,0.490099844
n67,n67,Menendez,51,45.89799988,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010508806,0,0.988235294,1260,0.849107795
n68,n68,Mikulski,52,46.47300023,3,0.638157895,0.002865311,0.010914333,0.010914333,0,0.010644172,0,0.960784314,1274,0.861523822
n69,n69,Murkowski,47,37.27300006,2,0.659863946,0.007957508,0.009884679,0.009884679,1,0.010303079,0,0.926919519,1002,0.509477446
n70,n70,Murray,51,45.98799992,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010526753,0,0.988235294,1260,0.849107795
n71,n71,Nelson (FL),51,45.07500005,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010348937,0,0.988235294,1260,0.849107795
n72,n72,Nelson (NE),54,42.32100016,3,0.678321678,0.01258914,0.011326195,0.011326195,0,0.009892853,0,0.898672257,1286,0.882936031
n73,n73,Obama,50,44.59199971,3,0.551136364,0,0.010502472,0.010502472,0,0.010243432,0,1,1225,0.830538372
n74,n74,Pryor,53,43.82199991,3,0.673611111,0.008202456,0.011120264,0.011120264,0,0.010153088,0,0.928882438,1280,0.873006433
n75,n75,Reed,51,46.10599977,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010550183,0,0.988235294,1260,0.849107795
n76,n76,Reid,51,45.19399989,3,0.625806452,0.002019491,0.010708402,0.010708402,0,0.010383817,0,0.970980392,1238,0.842954399
n77,n77,Roberts,46,37.81100005,3,0.598765432,0.002388814,0.009678748,0.009678748,1,0.010459583,0,0.954589372,988,0.490099844
n78,n78,Rockefeller,50,43.06300008,3,0.551136364,0,0.010502472,0.010502472,0,0.009945621,0,1,1225,0.830538372
n79,n79,Salazar,53,46.27299988,3,0.673611111,0.008202456,0.011120264,0.011120264,0,0.010632838,0,0.928882438,1280,0.873006433
n80,n80,Sanders,51,44.68299967,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010271415,0,0.988235294,1260,0.849107795
n81,n81,Schumer,51,45.6680001,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010463821,0,0.988235294,1260,0.849107795
n82,n82,Sessions,45,36.48499995,3,0.591463415,0.001981975,0.009472817,0.009472817,1,0.010151177,0,0.964646465,955,0.477683816
n83,n83,Shelby,46,37.49199992,3,0.598765432,0.002388814,0.009678748,0.009678748,1,0.010384901,0,0.954589372,988,0.490099844
n84,n84,Smith,41,29.43099999,2,0.633986928,0.020193325,0.008649094,0.008649094,1,0.008342511,0,0.824390244,676,0.474180954
n85,n85,Snowe,65,46.61899996,2,0.751937984,0.135470044,0.013591433,0.013591433,0,0.011048593,0,0.664903846,1383,1
n86,n86,Specter,48,34.30799997,2,0.664383562,0.075187457,0.01009061,0.01009061,1,0.009227004,0,0.595744681,672,0.609166135
n87,n87,Stabenow,50,44.43199986,3,0.551136364,0,0.010502472,0.010502472,0,0.010213068,0,1,1225,0.830538372
n88,n88,Stevens,46,35.88799995,2,0.655405405,0.007688727,0.009678748,0.009678748,1,0.009970613,0,0.927536232,960,0.499820753
n89,n89,Sununu,45,35.59499991,3,0.591463415,0.001981975,0.009472817,0.009472817,1,0.009940086,0,0.964646465,955,0.477683816
n90,n90,Tester,52,43.37599963,3,0.646666667,0.005232504,0.010914333,0.010914333,0,0.010047832,0,0.953242836,1264,0.859037393
n91,n91,Thune,47,38.56599987,2,0.659863946,0.007957508,0.009884679,0.009884679,1,0.010615411,0,0.926919519,1002,0.509477446
n92,n92,Vitter,42,33.29399991,3,0.48989899,6.67E-05,0.008855024,0.008855024,1,0.009404707,0,0.990708479,853,0.43917802
n93,n93,Voinovich,43,30.85799998,2,0.642384106,0.005789549,0.009060956,0.009060956,1,0.008771695,0,0.941306755,850,0.472480613
n94,n94,Warner,47,37.5629999,2,0.659863946,0.007957508,0.009884679,0.009884679,1,0.010373816,0,0.926919519,1002,0.509477446
n95,n95,Webb,51,44.0450002,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010147132,0,0.988235294,1260,0.849107795
n96,n96,Whitehouse,51,46.21600008,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010571404,0,0.988235294,1260,0.849107795
n97,n97,Wyden,51,45.88799995,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.01050783,0,0.988235294,1260,0.849107795
